"KEY","en","notes","sp","fr","de","it","pt-br"
"FURNITURE_RARE_FORMAT","稀有{furniturename}","","{furniturename} inusual","{furniturename} rare","{furniturename} (Selten)","{furniturename} (raro)","{furniturename} (raro)"
"FURNITURE_NAME_POOP","便便","","Caca","Crotte","Häufchen","Cacca","Cocô"
"FURNITURE_DESC_POOP","","","","","","",""
"FURNITURE_NAME_AUTOFEEDER","自動餵食器","(cut, no need to localize)","Comedero automático","Autofeeder","","",""
"FURNITURE_DESC_AUTOFEEDER","這個物件已從遊戲中移除且沒有任何效果。放在家裡只是佔空間。","(cut, no need to localize)","Este objeto ya no está en el juego, de modo que ocupa un espacio innecesario en la casa.","This item got removed from the game and has no effect. Its a waste of space to keep in your house.","","",""
"FURNITURE_NAME_SPECIAL_FOODBOX","食物 收納 箱","","Caja para comida","Boîte de rangement de croquettes","Futterbox","Scatola per il cibo","Caixa de armazenamento de comida"
"FURNITURE_DESC_SPECIAL_FOODBOX","+40 最大食物","","+40 de máximo de comida","Nourriture max.&nbsp;+40","+40&nbsp;max. Futter","+40 Cibo Massimo","+40 de comida máx."
"FURNITURE_NAME_SPECIAL_COMFORTIDOL","舒適偶像","","Ídolo de la comodidad","Idole de Bien-être","Idol des Komforts","Idolo del Comfort","Ídolo de conforto"
"FURNITURE_DESC_SPECIAL_COMFORTIDOL","","","","","","",""
"FURNITURE_NAME_SPECIAL_APPEALIDOL","魅力偶像","","Ídolo del atractivo","Idole d'Attractivité","Idol der Anziehung","Idolo dell'Attrattiva","Ídolo de apelo"
"FURNITURE_DESC_SPECIAL_APPEALIDOL","","","","","","",""
"FURNITURE_NAME_SPECIAL_HEALTHIDOL","健康偶像","","Ídolo de la salud","Idole de Santé","Idol der Gesundheit","Idolo della Salute","Ídolo de saúde"
"FURNITURE_DESC_SPECIAL_HEALTHIDOL","","","","","","",""
"FURNITURE_NAME_SPECIAL_EVOLUTIONIDOL","進化 偶像","","Ídolo de la evolución ","Idole d'Évolution","Idol der Evolution ","Idolo dell'Evoluzione","Ídolo de evolução"
"FURNITURE_DESC_SPECIAL_EVOLUTIONIDOL","","","","","","",""
"FURNITURE_NAME_SPECIAL_STIMULATIONIDOL","刺激 偶像","","Ídolo de la estimulación ","Idole de Stimulation","Idol der Stimulation ","Idolo della Stimolazione","Ídolo de estimulação"
"FURNITURE_DESC_SPECIAL_STIMULATIONIDOL","","","","","","",""
"FURNITURE_NAME_SPECIAL_FIGHTIDOL","混沌偶像","","Ídolo del caos","Idole du Chaos","Idol des Chaos","Idolo del Caos","Ídolo de caos"
"FURNITURE_DESC_SPECIAL_FIGHTIDOL","戰鬥會更致命，但獲勝的貓咪可獲得雙倍屬性獎勵。","","Los combates son más sangrientos, pero el gato ganador recibe el doble de recompensas de atributos.","Les combats sont plus sanguinaires, mais le chat vainqueur remporte le double des récompenses en stats.","Kämpfe sind tödlicher, aber Attributsbelohnungen sind verdoppelt.","I combattimenti sono più letali, ma il gatto vincitore ottiene il doppio delle ricompense alle statistiche.","Lutas são mais mortais, mas os gatos vencedores obtêm o dobro de recompensas de atributos."
"FURNITURE_NAME_SPECIAL_SUPPRESSORIDOL","貞潔偶像","","Ídolo de la castidad","Idole de Chasteté","Idol der Keuschheit","Idolo della castità","Ídolo de castidade"
"FURNITURE_DESC_SPECIAL_SUPPRESSORIDOL","貓咪不會繁殖。","","Los gatos no se aparean.","Les chats ne se reproduiront pas.","Katzen pflanzen sich nicht fort.","I gatti non si riproducono.","Gatos não procriam."
