"KEY","en","notes","sp","fr","de","it","pt-br"
"CLASS_UNLOCK_MEDIC","「醫師項圈」現已可用！","","¡Ya está disponible el collar de clérigo!","«&nbsp;Collier de Sage&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Kleriker“!","È ora disponibile il ""Collare del Chierico""!","Nova coleira disponível: ""clérigo""!"
"CLASS_UNLOCK_THIEF","「盜賊項圈」現已可用！","","¡Ya está disponible el collar de ladrón!","«&nbsp;Collier de Fourbe&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Dieb“!","È ora disponibile il ""Collare del Ladro""!","Nova coleira disponível: ""ladrão""!"
"CLASS_UNLOCK_NECROMANCER","「死靈法師項圈」現已可用！","","¡Ya está disponible el collar de nigromante!","«&nbsp;Collier d'Occultiste&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Totenbeschwörer“!","È ora disponibile il ""Collare del Necromante""!","Nova coleira disponível: ""necromante""!"
"CLASS_UNLOCK_BUTCHER","「屠夫項圈」現已可用！","","¡Ya está disponible el collar de carnicero!","«&nbsp;Collier de Barbare&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Schlachter“!","È ora disponibile il ""Collare del Macellaio""!","Nova coleira disponível: ""açougueiro""!"
"CLASS_UNLOCK_PSYCHIC","「念能者項圈」現已可用！","","¡Ya está disponible el collar de ocultista!","«&nbsp;Collier de Médium&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Medium“!","È ora disponibile il ""Collare dello Psionico""!","Nova coleira disponível: ""psíquico""!"
"CLASS_UNLOCK_TINKERER","「工匠項圈」現已可用！","","¡Ya está disponible el collar de manitas!","«&nbsp;Collier de Scientifique&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Bastler“!","È ora disponibile il ""Collare dell'Inventore""!","Nova coleira disponível: ""artífice""!"
"CLASS_UNLOCK_DRUID","「德魯伊項圈」現已可用！","","¡Ya está disponible el collar de druida!","«&nbsp;Collier de Druide&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Druide“!","È ora disponibile il ""Collare del Druido""!","Nova coleira disponível: ""druida""!"
"CLASS_UNLOCK_MONK","「武僧項圈」現已可用！","","¡Ya está disponible el collar de monje!","«&nbsp;Collier de Moine&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Mönch“!","È ora disponibile il ""Collare del Monaco""!","Nova coleira disponível: ""monge""!"
"CLASS_UNLOCK_JESTER","「小丑項圈」現已可用！","","¡Ya está disponible el collar de bufón!","«&nbsp;Collier de Joker&nbsp;» maintenant disponible !","Neues Halsband verfügbar: „Narr“!","È ora disponibile il ""Collare del Giullare""!","Nova coleira disponível: ""curinga""!"
"","","","","","","",""
"AREA_UNLOCK_SEWERS","你現在可以前往下水道冒險了！","","¡Ya puedes explorar las alcantarillas!","Vous pouvez désormais vous rendre dans les Égouts !","Du kannst jetzt in die Kanalisation aufbrechen!","Ora puoi avventurarti nelle Fogne!","Agora você pode se aventurar no Esgoto!"
"AREA_UNLOCK_JUNKYARD","你現在可以前往廢車場冒險了！","","¡Ya puedes explorar el desguace!","Vous pouvez désormais vous rendre dans la Décharge !","Du kannst jetzt zum Schrottplatz aufbrechen!","Ora puoi avventurarti nella Discarica!","Agora você pode se aventurar no Ferro-Velho!"
"AREA_UNLOCK_CAVES","你現在可以前往洞窟冒險了！","","¡Ya puedes explorar las cuevas!","Vous pouvez désormais vous rendre dans les Grottes !","Du kannst jetzt in die Höhlen aufbrechen!","Ora puoi avventurarti nelle Caverne!","Agora você pode se aventurar nas Cavernas!"
"AREA_UNLOCK_BONEYARD","你現在可以前往骸骨墓地冒險了！","","¡Ya puedes explorar el cementerio!","Vous pouvez désormais vous rendre au Cimetière !","Du kannst jetzt zum Friedhof aufbrechen!","Ora puoi avventurarti nel Cimitero!","Agora você pode se aventurar no Cemitério!"
"AREA_UNLOCK_DESERT","你現在可以前往沙漠冒險了！","","¡Ya puedes explorar el desierto!","Vous pouvez désormais vous rendre dans le Désert !","Du kannst jetzt in die Wüste aufbrechen!","Ora puoi avventurarti nel Deserto!","Agora você pode se aventurar no Deserto!"
"AREA_UNLOCK_CRATER","你現在可以前往隕坑冒險了！","","¡Ya puedes explorar el cráter!","Vous pouvez désormais vous rendre dans le Cratère !","Du kannst jetzt zum Krater aufbrechen!","Ora puoi avventurarti nel Cratere!","Agora você pode se aventurar na Cratera!"
"AREA_UNLOCK_BUNKER","你現在可以前往地堡冒險了！","","¡Ya puedes explorar el búnker!","Vous pouvez désormais vous rendre dans le Bunker !","Du kannst jetzt zum Bunker aufbrechen!","Ora puoi avventurarti nel Bunker!","Agora você pode se aventurar no Bunker!"
"AREA_UNLOCK_CORE","你現在可以前往核心冒險了！","","¡Ya puedes explorar el núcleo!","Vous pouvez désormais vous rendre dans le Noyau !","Du kannst jetzt zum Kern aufbrechen!","Ora puoi avventurarti nel Nucleo!","Agora você pode se aventurar no Núcleo!"
"AREA_UNLOCK_MOON","你現在可以前往月球冒險了！","","¡Ya puedes explorar la luna!","Vous pouvez désormais vous rendre sur la Lune !","Du kannst jetzt zum Mond aufbrechen!","Ora puoi avventurarti sulla Luna!","Agora você pode se aventurar na Lua!"
"AREA_UNLOCK_LAB","你現在可以前往實驗室冒險了！","","¡Ya puedes explorar el laboratorio!","Vous pouvez désormais vous rendre dans le Labo !","Du kannst jetzt zum Labor aufbrechen!","Ora puoi avventurarti nel Laboratorio!","Agora você pode se aventurar no Laboratório!"
"AREA_UNLOCK_ICEAGE","你現在可以前往過去冒險了！","","¡Ya puedes explorar el pasado!","Vous pouvez désormais vous rendre dans le passé !","Du kannst jetzt in die Vergangenheit aufbrechen!","Ora puoi avventurarti nel passato!","Agora você pode se aventurar no passado!"
"AREA_UNLOCK_JURASSIC","你現在可以前往更久遠的過去冒險了！","","¡Ya puedes explorar un pasado más remoto!","Vous pouvez désormais aller plus loin dans le passé !","Du kannst jetzt noch weiter in die Vergangenheit aufbrechen!","Ora puoi avventurarti ancora più indietro nel passato!","Agora você pode se aventurar ainda mais longe no passado!"
"AREA_UNLOCK_FUTURE","你現在可以前往未來冒險了！","","¡Ya puedes explorar el futuro!","Vous pouvez désormais vous rendre dans le futur !","Du kannst jetzt in die Zukunft aufbrechen!","Ora puoi avventurarti nel futuro!","Agora você pode se aventurar no futuro!"
"AREA_UNLOCK_THEEND","你現在可以前往更遙遠的未來冒險了！","","¡Ya puedes explorar un futuro más remoto!","Vous pouvez désormais aller plus loin dans le futur !","Du kannst jetzt noch weiter in die Zukunft aufbrechen!","Ora puoi avventurarti ancora più avanti nel futuro!","Agora você pode se aventurar ainda mais longe no futuro!"
"AREA_UNLOCK_THERIFT","你現在可以前往裂隙冒險了！","","¡Ya puedes explorar la Grieta!","Vous pouvez désormais vous rendre dans la Faille !","Du kannst jetzt in den Riss aufbrechen!","Ora puoi avventurarti nella Fenditura!","Agora você pode se aventurar na Fissura!"
"AREA_UNLOCK_MEATWORLD","你現在可以前往搏動領域冒險了！","","¡Ya puedes explorar el Dominio Palpitante!","Vous pouvez désormais vous rendre dans le Domaine lancinant !","Du kannst jetzt in das Pulsierende Reich aufbrechen!","Ora puoi avventurarti nel Regno Pulsante!","Agora você pode se aventurar no Domínio Pulsante!"
"AREA_UNLOCK_MEATWORLDFULL","搏動之王要求接見你。
你現在可完整進入他的領域！","","El Rey Palpitante solicita tu presencia. ¡Ahora tienes acceso total a su dominio!","Le Roi lancinant a accédé à votre requête. Vous avez désormais accès à tout son domaine !","Der Pulsierende König bittet dich um eine Audienz. Du hast jetzt uneingeschränkten Zugang zu seinem Reich!","Il Re Pulsante richiede la tua presenza. Ora hai completo accesso al suo regno!","O Rei Pulsante solicita sua presença. Agora você possui acesso total ao seu domínio!"
"","","","","","","",""
"AREA_UNLOCK_ENDOFTIME","時光機現在可以前往無限之境了！","","¡La máquina del tiempo ya puede viajar al infinito!","La machine temporelle peut vous mener dans l'Infini !","Die Zeitmaschine kann jetzt in die Unendlichkeit reisen!","La macchina del tempo ora può viaggiare nell'Infinito!","A máquina do tempo agora pode viajar para o Infinito!"
"","","","","","","",""
"QUEST_BEGIN_THROBBINGGRISTLE","「搏動軟骨」已找到並加入任務道具！","","¡Has encontrado el cartílago palpitante y se ha añadido a los objetos de misión!","«&nbsp;Cartilage lancinant&nbsp;» trouvé et ajouté aux objets de quête !","„Pulsierender Knorpel“ gefunden und den Questgegenständen hinzugefügt!","Hai trovato la ""Cartilagine Pulsante"" e l'hai aggiunta agli oggetti della missione!","A ""cartilagem pulsante"" foi encontrada e adicionada aos seus itens de missão!"
